isis,sps
oa,research-article
ed,editorial
ab,abstract
an,announcement
co,article-commentary
cr,case-report
le,letter
ra,review-article
sc,rapid-communication
addendum,addendum
rc,book-review
books-received,books-received
rn,brief-report
calendar,calendar
oa,clinical-trial
zz,collection
er,correction
discussion,discussion
dissertation,dissertation
ed,editorial-material
pr,in-brief
ed,introduction
meeting-report,meeting-report
news,news
obituary,obituary
oration,oration
partial-retraction,partial-retraction
product-review,product-review
reply,reply
reprint,reprint
re,retraction
translation,translation
oa,technical-report
zz,other
guideline,guideline
in,interview
data-article,data-article
